"method","result_type","c_value_set","confusion matrix","encounter error rate","encounter number error","event F-score","event precision","event recall","gmm_mix_set","label event","number of label","number of matching event","number of prediction","pred event","segment F-score","segment precision","segment recall","threshold_averagestep_set","threshold_set","total matching iou"
"crnn6","average_result",NA,"[[796201.   1468.]
 [  1000.   7731.]]","0.09580193756727665","178","0.866974833076528","0.8290766208251473","0.9085037674919269",NA,NA,"1858","1688.0","2036",NA,"0.8623535973229225","0.8854655824075135","0.8404174366778998","[(0.4, 1), (0.3, 1), (0.5, 1), (0.5, 1)]",NA,"1431.80303030303"
"crnn6","hmm_bino_result",NA,"[[7.96506e+05 1.62300e+03]
 [6.95000e+02 7.57600e+03]]","0.06566200215285253","122","0.899276572064552","0.9308755760368663","0.8697524219590959",NA,NA,"1858","1616.0","1736",NA,"0.8673153978248426","0.9159714665699432","0.8235677791064246",NA,NA,"1402.1421411921408"
"crnn6","hmm_bino_threshold_result",NA,"[[796315.   1479.]
 [   886.   7720.]]","0.03659849300322928","68","0.8974780701754386","0.9145251396648044","0.8810548977395048",NA,NA,"1858","1637.0","1790",NA,"0.8671721426565572","0.8970485707645829","0.8392216545276661",NA,NA,"1414.7885697635695"
"crnn6","hmm_gmm_result",NA,"[[7.92431e+05 7.56000e+02]
 [4.77000e+03 8.44300e+03]]","0.0984930032292788","183","0.8658630418055911","0.8270455658990691","0.9085037674919269","[128, 64, 128, 64]",NA,"1858","1688.0","2041",NA,"0.7534356594681421","0.638991901914781","0.9178171540384824",NA,NA,"1293.8255008170288"
"crnn6","nn_result",NA,"[[7.9642e+05 1.6020e+03]
 [7.8100e+02 7.5970e+03]]","0.05651237890204521","105","0.878304108872023","0.8548140601120734","0.9031216361679225",NA,NA,"1858","1678.0","1963",NA,"0.8644251009842407","0.9067796610169492","0.825850635938689",NA,NA,"1421.150649350649"
"crnn6","threshold_result",NA,"[[796201.   1468.]
 [  1000.   7731.]]","0.09580193756727665","178","0.866974833076528","0.8290766208251473","0.9085037674919269",NA,NA,"1858","1688.0","2036",NA,"0.8623535973229225","0.8854655824075135","0.8404174366778998",NA,"[0.4, 0.3, 0.5, 0.5]","1431.80303030303"
"crnn8","average_result",NA,"[[7.96414e+05 1.58900e+03]
 [7.87000e+02 7.61000e+03]]","0.01776103336921421","33","0.8850360096025607","0.8773135906927552","0.8928955866523143",NA,NA,"1858","1659.0","1891",NA,"0.8649693112070925","0.9062760509705847","0.8272638330253288","[(0.7, 1), (0.5, 1), (0.4, 1), (0.4, 1)]",NA,"1403.2851370851372"
"crnn8","hmm_bino_result",NA,"[[7.96491e+05 1.63100e+03]
 [7.10000e+02 7.56800e+03]]","0.07804090419806244","145","0.9000280033604032","0.9381202568593111","0.864908503767492",NA,NA,"1858","1607.0","1713",NA,"0.8660525261772616","0.9142304904566321","0.8226981193608001",NA,NA,"1388.5442224442222"
"crnn8","hmm_bino_threshold_result",NA,"[[7.96483e+05 1.59700e+03]
 [7.18000e+02 7.60200e+03]]","0.07588805166846072","141","0.9023776223776224","0.9394292370413512","0.8681377825618946",NA,NA,"1858","1613.0","1717",NA,"0.8678577544380387","0.9137019230769231","0.8263941732797043",NA,NA,"1391.6763653013652"
"crnn8","hmm_gmm_result",NA,"[[793561.    799.]
 [  3640.   8400.]]","0.041442411194833155","77","0.8821513313999473","0.8645994832041344","0.9004305705059203","[64, 64, 64, 64]",NA,"1858","1673.0","1935",NA,"0.7909976929233956","0.6976744186046512","0.9131427329057507",NA,NA,"1280.9812969650368"
"crnn8","nn_result",NA,"[[7.96416e+05 1.61800e+03]
 [7.85000e+02 7.58100e+03]]","0.02045209903121636","38","0.8811933937133724","0.8723628691983122","0.8902045209903121",NA,NA,"1858","1654.0","1896",NA,"0.8631938514090521","0.9061678221372221","0.82411131644744",NA,NA,"1400.0204545454542"
