,,nn_result,threshold_result,average_result,hmm_bino_result,hmm_gmm_result,hmm_bino_threshold_result,svm_result
lenet_proportion_050,sgement F-score,0.6986261665990378,0.6997585490482341,0.6950640850831743,0.7323591289020299,0.6029276117906557,0.7349344007115856,
lenet_proportion_050,number of label,1858,1858,1858,1858,1858,1858,
lenet_proportion_050,number of prediction,2972,3164,2904,1472,1950,1532,
lenet_proportion_050,number of matching event,1563.0,1589.0,1575.0,1369.0,1506.0,1402.0,
lenet_proportion_050,total matching iou,1006.3687590187589,1049.663203463203,1033.0335137085133,1091.981414892483,1157.6988916506077,1114.2924843785527,
lenet_proportion_050,encounter number error,1114,1306,1046,386,92,326,
lenet_proportion_050,encounter error rate,0.5995694294940797,0.7029063509149623,0.5629709364908504,0.2077502691065662,0.04951560818083961,0.17545748116254037,
lenet_proportion_050,event precision,0.5259084791386271,0.5022123893805309,0.5423553719008265,0.9300271739130435,0.7723076923076924,0.9151436031331592,
lenet_proportion_050,event recall,0.841227125941873,0.8552206673842842,0.8476856835306782,0.7368137782561894,0.8105489773950484,0.7545748116254036,
lenet_proportion_050,event F-score,0.6472049689440994,0.632815611310235,0.6614867702645947,0.8222222222222222,0.7909663865546218,0.8271386430678466,
lenet_proportion_050,pred event,[0 0 1 ... 0 0 0],[0 0 1 ... 0 0 0],[0 0 1 ... 0 0 0],[1 1 1 ... 1 1 1],[0 0 1 ... 1 1 1],[1 1 1 ... 1 1 1],
lenet_proportion_050,label event,[0 1 0 ... 1 1 1],[0 1 0 ... 1 1 1],[0 1 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 1 0 ... 1 1 1],[0 0 0 ... 1 1 1],
lenet_proportion_025,confusion matrix,"[[794928.   3861.]
 [  2273.   5338.]]","[[793845.   3520.]
 [  3356.   5679.]]","[[793400.   3162.]
 [  3801.   6037.]]","[[794453.   3326.]
 [  2748.   5873.]]","[[785427.   1849.]
 [ 11774.   7350.]]","[[793834.   3016.]
 [  3367.   6183.]]",
lenet_proportion_025,segment precision,0.7013533044278019,0.6285556170448257,0.6136409839398251,0.6812434752348916,0.38433382137628114,0.647434554973822,
lenet_proportion_025,sgement recall,0.580280465267964,0.6173497119252093,0.6562669855419068,0.638438960756604,0.7989998912925318,0.6721382758995543,
lenet_proportion_025,sgement F-score,0.6350981558596074,0.6229022704837117,0.6342385880128172,0.6591470258136924,0.5190128164389366,0.6595551762760681,
lenet_proportion_025,number of label,1858,1858,1858,1858,1858,1858,
lenet_proportion_025,number of prediction,3169,3902,3031,1393,2213,1560,
lenet_proportion_025,number of matching event,1501.0,1563.0,1501.0,1287.0,1491.0,1339.0,
lenet_proportion_025,total matching iou,860.6068542568541,920.5822510822511,947.4576479076479,989.0614013018424,1117.063239511246,1021.9452023688224,
lenet_proportion_025,encounter number error,1311,2044,1173,465,355,298,
lenet_proportion_025,encounter error rate,0.7055974165769645,1.10010764262648,0.631324004305705,0.2502691065662002,0.19106566200215286,0.1603875134553283,
lenet_proportion_025,event precision,0.4736509940044178,0.40056381342901076,0.4952161002969317,0.923905240488155,0.6737460460912789,0.8583333333333333,
lenet_proportion_025,event recall,0.8078579117330463,0.841227125941873,0.8078579117330463,0.6926803013993541,0.802475780409042,0.7206673842841765,
lenet_proportion_025,event F-score,0.5971752536303958,0.5427083333333333,0.6140314992841072,0.7917563826514918,0.7324981577008106,0.7834991222937391,
lenet_proportion_025,pred event,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1],[1 1 1 ... 1 1 1],[0 0 0 ... 1 1 1],[0 1 1 ... 1 1 1],
lenet_proportion_025,label event,[0 0 0 ... 1 1 1],[1 1 0 ... 1 1 1],[1 1 0 ... 1 1 1],[0 0 0 ... 1 0 1],[0 0 0 ... 1 1 1],[0 0 0 ... 1 0 1],
svm_proportion_075,confusion matrix,,,,"[[795356.   5436.]
 [  1845.   3763.]]",,,"[[795782.   5948.]
 [  1419.   3251.]]"
svm_proportion_075,segment precision,,,,0.6710057061340942,,,0.6961456102783726
svm_proportion_075,sgement recall,,,,0.40906620284813566,,,0.3534079791281661
svm_proportion_075,sgement F-score,,,,0.5082731140676707,,,0.4688153435719951
svm_proportion_075,number of label,,,,1858,,,1858
svm_proportion_075,number of prediction,,,,1270,,,2606
svm_proportion_075,number of matching event,,,,989.0,,,1215.0
svm_proportion_075,total matching iou,,,,660.1167420553004,,,528.6897907647907
svm_proportion_075,encounter number error,,,,588,,,748
svm_proportion_075,encounter error rate,,,,0.31646932185145316,,,0.4025834230355221
svm_proportion_075,event precision,,,,0.778740157480315,,,0.46623177283192635
svm_proportion_075,event recall,,,,0.5322927879440258,,,0.6539289558665231
svm_proportion_075,event F-score,,,,0.6323529411764706,,,0.5443548387096774
svm_proportion_075,pred event,,,,[0 0 0 ... 1 1 1],,,[0 0 0 ... 0 0 0]
svm_proportion_075,label event,,,,[0 0 0 ... 0 0 0],,,[0 0 0 ... 0 0 0]
svm_proportion_075,c_value_set,,,,,,,"[1.0, 100.0, 10.0, 10.0]"
svm_proportion_050,confusion matrix,,,,"[[795413.   5959.]
 [  1788.   3240.]]",,,"[[795461.   6345.]
 [  1740.   2854.]]"
svm_proportion_050,segment precision,,,,0.6443914081145584,,,0.6212451023073574
svm_proportion_050,sgement recall,,,,0.3522121969779324,,,0.31025111425154905
svm_proportion_050,sgement F-score,,,,0.4554719898784002,,,0.4138331037482781
svm_proportion_050,number of label,,,,1858,,,1858
svm_proportion_050,number of prediction,,,,1007,,,2870
svm_proportion_050,number of matching event,,,,826.0,,,1147.0
svm_proportion_050,total matching iou,,,,565.7575558796432,,,451.08618326118324
svm_proportion_050,encounter number error,,,,851,,,1012
svm_proportion_050,encounter error rate,,,,0.4580193756727664,,,0.5446716899892358
svm_proportion_050,event precision,,,,0.82025819265144,,,0.3996515679442509
svm_proportion_050,event recall,,,,0.4445640473627557,,,0.6173304628632938
svm_proportion_050,event F-score,,,,0.5766143106457242,,,0.48519458544839256
svm_proportion_050,pred event,,,,[0 0 0 ... 0 0 0],,,[0 0 0 ... 1 0 0]
svm_proportion_050,label event,,,,[0 0 0 ... 0 0 0],,,[0 0 0 ... 0 0 0]
svm_proportion_050,c_value_set,,,,,,,"[100.0, 10.0, 1.0, 10.0]"
svm_proportion_025,confusion matrix,,,,"[[792663.   5826.]
 [  4538.   3373.]]",,,"[[793611.   6517.]
 [  3590.   2682.]]"
svm_proportion_025,segment precision,,,,0.42636834787005434,,,0.4276147959183674
svm_proportion_025,sgement recall,,,,0.3666702902489401,,,0.2915534297206218
svm_proportion_025,sgement F-score,,,,0.39427235534774985,,,0.3467132053519488
svm_proportion_025,number of label,,,,1858,,,1858
svm_proportion_025,number of prediction,,,,1661,,,4009
svm_proportion_025,number of matching event,,,,970.0,,,1142.0
svm_proportion_025,total matching iou,,,,557.9893998717141,,,416.727417027417
svm_proportion_025,encounter number error,,,,197,,,2151
svm_proportion_025,encounter error rate,,,,0.10602798708288483,,,1.1576964477933263
svm_proportion_025,event precision,,,,0.5839855508729681,,,0.2848590670990272
svm_proportion_025,event recall,,,,0.5220667384284177,,,0.6146393972012917
svm_proportion_025,event F-score,,,,0.5512929809605002,,,0.38929606272370887
svm_proportion_025,pred event,,,,[0 0 0 ... 0 0 0],,,[0 0 0 ... 0 0 0]
svm_proportion_025,label event,,,,[0 0 0 ... 0 0 0],,,[0 0 0 ... 0 0 0]
svm_proportion_025,c_value_set,,,,,,,"[10.0, 10.0, 10.0, 100.0]"
